state,state_case,veh_crash,pedestrians,motorists_involved,rural_urban,latitude,longitude,fatalities,drunk_drivers,state_name,city_name,lighting_name,city,day,month,year,hour,minute,light_conditions
6,60866,1,0,1,2,37.69494444,-121.71700000000001,1,0,CA,LIVERMORE,Dark Lighted,1920,2,3,2018,5,30,3
6,60867,1,1,1,2,37.31935556,-121.90799999999999,1,0,CA,SAN JOSE,Daylight,3340,8,7,2018,12,34,1
6,60868,1,1,1,2,37.35237222,-122.009,1,0,CA,SUNNYVALE,Dawn,3790,16,6,2018,5,14,4
6,60869,2,0,2,2,33.65505556,-116.402,1,0,CA,Unknown,Daylight,0,4,3,2018,14,48,1
6,60870,3,0,4,1,36.25586111,-119.296,1,0,CA,Unknown,Daylight,0,2,4,2018,18,20,1
6,60871,1,0,1,1,40.73548889,-122.927,1,0,CA,Unknown,Daylight,0,3,6,2018,18,5,1
6,60872,2,0,6,1,36.56881111,-119.57,2,0,CA,Unknown,Daylight,0,1,7,2018,13,39,1
6,60873,3,0,8,2,33.68768056,-117.899,1,1,CA,COSTA MESA,Daylight,880,1,4,2018,17,35,1
6,60875,2,0,3,1,33.83958889,-117.132,2,0,CA,Unknown,Dark Not Lighted,0,25,5,2018,3,40,2
6,60876,1,0,1,1,36.91818611,-121.781,1,0,CA,WATSONVILLE,Dark Lighted,4100,24,6,2018,4,27,3
6,60877,1,1,2,2,33.9457,-118.242,1,0,CA,LOS ANGELES,Dark Lighted,1980,15,6,2018,21,5,3
6,60878,1,1,1,2,33.96243333,-118.287,1,0,CA,LOS ANGELES,Dark Lighted,1980,3,7,2018,21,5,3
6,60879,1,0,3,1,33.92495833,-116.425,1,0,CA,Unknown,Daylight,0,5,6,2018,18,55,1
6,60880,1,0,1,1,33.89978056,-116.766,1,1,CA,Unknown,Daylight,0,15,6,2018,15,53,1
6,60881,2,0,2,1,33.69643611,-117.07,2,0,CA,Unknown,Dark Not Lighted,0,24,7,2018,20,54,2
6,60882,1,0,1,2,34.00595833,-117.551,1,0,CA,Unknown,Dark Not Lighted,9997,20,5,2018,22,50,2
6,60883,2,0,3,1,32.97863889,-115.501,2,0,CA,BRAWLEY,Daylight,440,5,6,2018,16,8,1
6,60884,2,0,2,2,34.68992222,-118.064,1,0,CA,LANCASTER,Dark Lighted,1840,6,6,2018,20,34,3
6,60885,2,0,2,1,40.13895833,-121.588,1,0,CA,Unknown,Dark Not Lighted,0,4,5,2018,20,55,2
6,60886,2,0,3,1,41.29987222,-124.051,2,0,CA,Unknown,Daylight,0,23,5,2018,13,20,1
6,60887,1,0,2,1,33.73623889,-116.81700000000001,1,0,CA,Unknown,Daylight,0,9,5,2018,18,41,1
